District,Green_Score
Angul,0.7443873015377912
Balangir,0.2249407342711879
Balasore,0.1088832309179949
Bargarh,0.2507115786518609
Bhadrak,0.0
Bhubaneswar,0.2836118562650109
Cuttack,0.271056879503415
Dhenkanal,0.5245699335599994
Gajapati,0.8114667488068873
Ganjam,0.4202875947471854
Jagatsinghpur,0.0847090520602641
Jajpur,0.0943826226644625
Jharsuguda,0.1808891418946322
Kalahandi,0.5701538569512459
Kandhamal,1.0
Kendrapara,0.0749126610312238
Keonjhar,0.6891804953367235
Khordha,0.1851859072335386
Koraput,0.3963707539224558
Malkangiri,0.6714651112012222
Mayurbhanj,0.68033742474812
Nabarangapur,0.30120441997567
Nayagarh,0.7578312642315719
Nuapada,0.4911705761252694
Puri,0.0522318225771234
Rayagada,0.7607945506721991
Rourkela,0.8355025109953523
Sambalpur,0.8024911101406783
Sundargarh,0.7598743722511626
Talcher,0.7491012664150486
